Vilhelmina,277952
Åsele,270661
Umeå,317487
Lycksele,301330
Skellefteå,318893
NORRBOTTENS LÄN,323229
Arvidsjaur,303316
Arjeplog,299921
Jokkmokk,299238
Överkalix,282176
Kalix,304976
Övertorneå,279638
Pajala,289431
Gällivare,359682
Älvsbyn,293278
Luleå,329541
Piteå,324450
Boden,314273
Haparanda,282461
Kiruna,360887
